Played,Willing to play again,Title,minMinutes Played,hrsHours Played,Release Date,Multiplayer,Genres
No,On PC,Final Fantasy 15,,,,,
No,,Final Fantasy 13,,,,,
No,,Final Fantasy 13-2,,,,,
Yes,,Resistance 2,,,,,
Yes,,Resistance: Fall of Man,,,,,
Yes,,Dark Siders,,,,,
Yes,,Dantes Inferno,,,,,
Yes,,God of War 3,,,,,
Yes,,God of War Collection ,,,,,
Yes,Meh,Blue Blaze Calamity Trigger,,,,,
Yes,,Gears of War 3,,,,,
Yes,,Gears of War 2 GOY,,,,,
Yes,,Gears of War,,,,,
No,Meh,Fable 2,,,,,
Yes,,Bayoneta - Xbox 360,,,,,
No,,Halo Wars,,,,,
Yes,,Destiny,,,,,
Yes,Yes,Final Fantasy 5,,,,,
Yes,Yes,Final Fantasy 7,,,,,
Yes,Yes,Final Fantasy 8,,,,,
Yes,Yes,Final Fantasy Origins,,,,,
Yes,Yes,Final Fantasy Tatics: War of the Lions,,,,,
Yes,Yes,Forza 4,,,,,
Yes,Yes,Forza 6,,,,,
Yes,Yes,Gears of War 4,,,,,
Yes,"No just no screw the interface, load times, etc",Gran Turismo 5,,,,,
Yes,,Halo,,,,,
Yes,,Halo 2,,,,,
Yes,,Halo 3,,,,,
Yes,,Halo 3 ODST,,,,,
IDK,,Halo 5,,,,,
Yes,,Halo Aniversay,,,,,
Yes,,Halo Reach,,,,,
Yes,,Infamous ,,,,,
No,,Infamous 2,,,,,
Yes,,Journey,,,,,
Yes,,Littel Big Planet 2,,,,,
Yes,,Little Big Planet,,,,,
Yes,Would need to start over,Lost Odyssey ,,,,,
Yes,Meh,Scott Pilgram vs The World,,,,,
No,,Valkaria Chronicles,,,,,
Yes,Yes,Xenogears,,,,,